premise,hypothesis,label,premise_en,hypothesis_en,source
شخص يرتدي قبعة ويجلس على العشب,الشخص يجلس ويرتدي قبعة العشب,1,A person is wearing a hat and is sitting on the grass,A person is sitting and wearing a grass hat,arNLI
صبي صغير يقفز في بحيرة ساكنة,صبي صغير يغوص في بحيرة ساكنة,0,A young boy is jumping into a still lake,A young boy is diving into a still lake,arNLI
عازفو الكمان المنفرد يأخذون خشبة المسرح خلال عرض الأوركسترا الافتتاحي في المسرح.,الناس يلعبون الهارمونيكا وقوفا على السطح.,2,Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing the harmonica while standing on a roof.,snli
تتألف مجموعة أساسية من ثلاثة أو أربعة ذكور ، مع عدد قليل من الأعضاء الهامشيين ، من وحدة التنشئة الاجتماعية المهمة التي توفر مساحة آمنة للشباب للمزاح والتعبير عن أنفسهم.,الرجال الصغار في بالوميلا يقولوا نكات عن الأحصنة.,1,"Consisting of a core of three or four males, with a few fringe members, a palomilla was an important socialization unit that provided a safe space for young men to joke and express themselves.",Young men in palomillas told jokes about horses.,xnli
إذا اعتقدنا أننا ملتزمون بسلوك معين في العالم  الذي ساد في عام 1787 ، أو 1791 ، أو 1868 ، فعلينا إذن أن نقرر أي المشاعر التي تلائمنا.,رفض الجميع مواجهة العالم في 1787.,2,"If we think we are bound by a certain take on the world that prevailed in 1787, 1791, or 1868, then we should decide whose sentiments matter.",No one agreed on a take on the world in 1787.,xnli
إذا أبقينا أسعارنا منخفضة ، فإننا نحتاج أن نأتي إليك ، أي أعضاء جمهورنا ، لطلب مساهمة صغيرة لمساعدتنا في تلبية هذه المهمة.,من أجل الحفاظ على أسعار تذاكرنا أقل من 10 دولارات ، نحتاج إلى جميع أعضاء جمهورنا للتبرع بمبلغ 25 دولارًا.,1,"If we keep our prices low, we need to come to you, our audience members, to ask for a small contribution in order to help us meet this mission.","In order to keep our ticket prices under $10, we would need all of our audience members to donate $25.",xnli
تقطع امرأة بصلة,المرأة تقطع جزرة,1,An onion is being sliced by a woman,The woman is cutting a carrot,arNLI
فتى يرتدي قميصًا أزرق لديه أوساخ على وجهه,طفل ذو شعر أشقر يمسك بزجاجة صفراء,1,A boy in a blue shirt has dirt on his face,"A child, who has blond hair, is holding a yellow bottle",arNLI
سودربرغ هو أحد هؤلاء القلة من صناعي الأفلام الذين تعلموا أثناء العمل.,سوديبرغ هو صانع أفلام بمهارة التعلم في العمل.,0,Soderbergh is one of those rare filmmakers who learn on the job.,Soderbergh is a filmmaker with the skill of learning on the job.,xnli
وانتقلوا إلى مالارد كريك في شارلوت.,قاموا ببناء منزل على مالارد الخور.,1,And they moved to Mallard Creek in Charlotte.,They built a house on Mallard Creek.,xnli
ومع ذلك، SAB، بعد دعمه بالأدب الحديث الذي يخاطب هذه المشكلة (روسي إت أل.,اهملت فرقة المطاردة الموضوع بشكل كامل.,2,"However, the SAB, supported by recent literature addressing this issue (Rossi et al.",The SAB ignored the topic completely.,xnli
يتنقل المشاة والسيارات خلال ازدحام مروري في المدينة الكبيرة,بعض الناس والمركبات في شارع مزدحم,0,Pedestrians and cars are moving through a traffic jam in the big city,Some people and vehicles are on a crowded street,arNLI
السيدة العجوز تنتظر على الرصيف,السيدة العجوز لا تنتظر على الرصيف,2,The elderly lady is waiting on the sidewalk,The elderly lady is not waiting on the sidewalk,arNLI
من أجل تحذيرات بالينجر، شاهد مقابلة إد بالينجر ( الرابعة عشر من أبريل، 2004).,حذر من يجري المقابلة من أنه ستكون هناك محاولة هجوم في مايو.,1,"For Ballinger's warnings, see Ed Ballinger interview (Apr. 14, 2004).",He warned the interviewer that there would be an attempted attack in May.,xnli
هناك، ممثلة كليك، يجب أن تجد نفسك....,أنت رجل.,2,"there, click Actress. You should find yourself...",You are a man.,xnli
خمسة بالغين يجلسون على درجات حجرية,راكب دراجة بالزي الأسود والأحمر يقف على دراجة ترابية,1,Five adults are sitting on stone steps,A bike rider in a black and red uniform is standing on a dirt bike,arNLI
هنا على طول أويل كريك، قام الهنود بقشد النفط من على سطح الماء من أجل الاستخدامات المحلية وعبئه المستوطنون البيض في زجاجات للأغراض الطبية وأطلقوا عليه سينيكا أويل أو زيت سينيكا.,لم يستخدم أحد النفط من النفط كريك..,2,"Here along Oil Creek, Indians skimmed the surface oil off the water for domestic uses, and white settlers bottled it for medicinal purposes and called it Seneca Oil.",Nobody ever used the oil from Oil Creek.,xnli
امرأة تضع ثقوب في البطاطا,امرأة تضع طفلا في سلة المهملات,1,The woman is poking holes in the potato,A woman is putting a baby in a waste bin,arNLI
أعلى مرتبة شرف تذهب إلى Riven - ترقية إلى لعبة الكمبيوتر الأكثر مبيعا في كل العصور ، Myst - حول شخص تقطعت بهم السبل على جزيرة.,Myst هي لعبة كمبيوتر شعبية عن شخص في جزيرة.,0,"Top honors go to the Riven --an upgrade to the best-selling computer game of all time, Myst --about a person marooned on an island.",Myst is a popular computer game about a person on an island.,xnli
لرد فعل معلم الأكاديمية، انظر تقرير مكتب التحقيقات الفيدرالي، مقابلة مع جيمس ميلتون، أبريل.,كان مدرب الأكاديمية جيمس ميلتون.,0,"For the Academy's instructor's reaction, see FBI report of investigation, interview of James Milton, Apr.",The instructor of the Academy was James Milton.,xnli
إسمح لي بنحن ندفع مقابل أي شخص تعرفه عن رعاية الطفل لكننا لا ندفع بقدر ما يفعلون خارج القاعدة,رعاية الأطفال أرخص على أساس.,0,excuse me we pay for any you know the child care but we don't pay as much as they do off base,Childcare is cheaper on base.,xnli
شخص يضع الطعام في الماء,شخص يضع الشعرية في الماء,0,Someone is stirring food in the water,Someone is stirring noodles in the water,arNLI
أربعة أشخاص يجلسون على حافة إسمنتية منخفضة,تجلس مجموعة الأشخاص على حافة صخرية وخلفهم منظر خلاب,1,Four people are sitting on a low cement ledge,The group of people is sitting on a ledge which is rocky and a scenic view is behind them,arNLI
تأكد من رؤية العملة  a5 لعام 1887، التي تسببت في ذعر بين الموضوعات البريطانية في ذلك الوقت.,عملة a5 نادرة للغاية.,1,"Be sure to see the 1887 a5 coin, which caused consternation among British subjects of the time.",The a5 coin is incredibly rare.,xnli
 الرجل يتحدث على الهاتف,الرجل يتحدث على الهاتف,0,The man is speaking on the telephone,The man is talking on the telephone,arNLI
رجل يتحدث,رجل يرقص ,1,A man is speaking,A man is dancing,arNLI
تحظى السيارات اليدوية الصنع في المدينة بشعبية كبيرة جدًا، وفي في عام 1964أعلن النظام على أنها أحد المعالم الوطنية التاريخية.,لا أحد يهتم بالسيارات بعد الآن.,2,"The hand-made cars are the city's best-loved attraction, and the system was declared a National Historic Landmark in 1964.",No one cares about the cars anymore.,xnli
يتم تقطيع بعض التوفو بواسطة امرأة واحدة,فتاة تقطع الزبدة إلى قطعتين,0,Tofu is being sliced by a woman,Some tofu is being sliced by one woman,arNLI
إن مايحدث تقريبا بين المتنافسين واشنطن و بافالو نيو اورلانز وشيكاغو  هو أنهم منتصرين  وذلك لأن  شيكاغو فقدها مرتين فقط بينما واحده منهم كانت لبافلو .,بوفالو لديه أفضل فريق بشكل عام.,1,it's pretty much going between Washington they're undefeated and uh Buffalo New Orleans and Chicago because Chicago's only lost twice and one of those was to Buffalo,Buffalo has the best team overall.,xnli
لقد قيل لنا أن بيكارد واشكروفت لم يكن لديهم علاقة جيدة.,كان معروفاً أن بيكارد و أشكروفت كانوأ أصدقاء حميمين جداً.,2,We have been told that Pickard and Ashcroft did not have a good relationship.,Pickard and Ashcroft were known to be very close friends.,xnli
في الليل، هناك العديد من المطاعم والنوادي والمسارح الجيدة للاستمتاع، وفي النهار هناك شاطئ رائع، يكتمل برصيف للتسلية، دائري عتيق، وأروقة التسوق القريبة.,هناك الكثير من المطاعم من فئة 4 نجوم.,1,"At night there are many good restaurants, clubs, and theaters to enjoy, and by day there is the glorious beach, complete with an amusement pier, antique carousel, and the nearby shopping arcades.",There are a lot of 4 star restaurants.,xnli
رجل مسن يجلس على مقعد ويرتدي سترة رمادية وسروالا أسود,امرأة مسنة تجلس على مقعد وترتدي سترة رمادية وسروالًا أسود,1,An elder man is sitting on a bench and is wearing a gray jacket and black pants,An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,arNLI
أقامت لويزا ماي ألكوت وناثانيل هوثورن في شارع بينكني، في حين أن شارع بيكون الذي أطلق عليه أوليفر ويندل هولمز اسم صني ستريت يضم المؤرخ ويليام بريسكوت الموهوب.,عاش هوثورن في شارع بينكني.,0,"Louisa May Alcott and Nathaniel Hawthorne resided on Pinckney Street, while Beacon Street which Oliver Wendell Holmes dubbed  the sunny street that holds the sifted few  boasted historian William Prescott.",Hawthorne lived on Pinckney Street.,xnli
درجات حرارة البحر تختلف بين 18e و 24 C (64-75e F).,ترى درجات الحرارة أعلى خلال النهار ، عندما يكون أكثر دفئا.,1,Sea temperatures vary between 18e and 24e C (64-75e F).,"See temperatures are higher during the day, when it is warmer.",xnli
تم القبض على كلب في الهواء بالكرة,يقفز كلب بني وأبيض في الهواء وفي فمه كرة تنس,0,A dog is caught mid air with a ball,A brown and white dog is jumping in the air with a tennis ball in its mouth,arNLI
الرجل يتبل اللحم,الرجل يتبل النقانق,0,The man is seasoning the meat,The man is seasoning the sausages,arNLI
لاحظ كيف للوحة المخادعة للعين على سقف مقوس أن تحول الكنيسة الصغيرة إلى كاتدرائية قوطية نبيلة.,تطمح اللوحة إلى تحويل الكنيسة إلى كاتدرائية قوطية.,0,Notice how the trompe l'oeil painting on the low arched ceiling aspires to turn the little church into a lofty Gothic cathedral.,The painting aspires to turn the church into a Gothic cathedral.,xnli
الملكية ما هي إلا مجموعة غير منتهية من الفقاعات في الفضاء أو الفضاء الإلكتروني مع وجود العديد من الناس الذين يدعون أن لديهم مجموعة غير منتهية من المصالح فيها.,خاصية فقط الناس يقول هم يمتلكون شيء.,0,"Property is an endless succession of bubbles in space, or cyberspace, with different people claiming an endless variety of interests in them.",Property is just people saying they own something.,xnli
​​الرواية التي يصل متوسط عدد كلماتها 200000 كلمة مقابل 25 دولارًا بما يعادل 8000 كلمة لكل دولار.,رواية من 200000 كلمة مقابل 25 دولار تعني 4000 كلمة لكل دولار.,2,"The average novel of 200,000 words for $25 works out at 8,000 words per dollar.","A 200,000 word novel for $25 is 4,000 words per dollar.",xnli
هناك حاجة ماسة لمهارات تكنولوجيا المعلومات التي جعلت التوظيف من قبل الدولة صعباً ، لذا فقد بحث هذا المدير عن بدائل لتطوير وإدارة البرامج الداخلية.,يحتاج الناس فعلا إلى الأشخاص ذو الخبرة بالكمبيوتر .,0,"IT skills are in great demand which made hiring by the state difficult, so this CIO looked for alternatives to in-house software development and management.",People really need good IT people.,xnli
لقد رأت مطبعة جامعة كامبريدج أنه من المناسب تكريم  الذكرى الـ 200 لحياة بوسويل جونسون مع مجموعة من أربعة عشر مقالا عن السيرة الذاتية للكاتب وموضوعه.,ستقوم مطبعة جامعة كامبريدج بتكريم ذكرى مرور 200 عام على حياة جونسون بفيلم 8مم.,2,The Cambridge University Press has seen fit to honor the 200th anniversary of Boswell's Life of Johnson with a collection of fourteen essays on the biographer and his subject.,The Cambridge University Press will honor the 200th anniversary of Life of Johnson with an 8mm film.,xnli
من الواضح أن نقاشنا يجب أن يظل قائماً حتى يتم نشر هذا الكتاب الطموح.,لا يمكننا بالتأكيد مواصلة هذا النقاش حتى بعد نشر الكتاب.,0,It's obvious that our discussion must rest until this ambitious book is published.,We certainly cannot continue this discussion until after the book is published.,xnli
رجل يعزف بحماس على الغيتار,شخص يعزف على البوق ,1,A man is passionately playing the guitar,A person is playing a trumpet,arNLI
بينشون: كما يليق رجل يحرس ، على العكس من التباهي ، خصوصياته ، وقد حافظت Pynchon حياته الخاصة الخاصة.,هناك برنامج تلفزيوني شهير حول حياة بينشون الخاصة ، بطولة بينشون نفسه.,2,"Pynchon : As befits a man guarding, as opposed to flaunting, his privacy, Pynchon has kept his private life private.","There is a popular TV show about Pynchon's private life, starring Pynchon himself.",xnli
صححت له كلمة (انكلترا) مع توبيخه.,كانت تكلف دائما بتصحيحه.,1,"England's,  she corrected him in reproof.",She was always tasked with correcting him.,xnli
بمساهمتك في المكتبة ، سوف تصبح عضوًا في أصدقاء Citywide.,تبرع اليوم إلى المكتبة لتصبح صديقًا ريفيًا.,2,"With your contribution to the Library, you will become a member of the Citywide Friends.",Donate today to the Library to become a Countryside Friend.,xnli
رجل يقود دراجة نارية,رجل يركب دراجة نارية,0,A man is driving a motorbike,A man is riding a motorbike,arNLI
أعلنت أقدم وأكبر صحافة جامعية في العالم - أكسفورد - للتو أنها تلغي قائمة الشعر.,الجامعة مكرسه للحفاظ على قائمة الشعر والعود وألا تقوم بالغاءها أبداً.,2,The world's oldest and largest university press--Oxford--has just announced that it is canceling its poetry list.,The university is dedicated to preserving the poetry list and vows to never cancel it.,xnli
كان سنجل الحاجز الخارجي للمدينة في القرون الوسطى، ولكن مع توسع المدينة، وسعت قناة هيرينجراخت (قناة النبلاء)، وقناة كيزيرزجراخت (قناة الإمبراطور)، وقناة برنسجراشت (قناة الأمراء) الشبكة.,كان سنجل موقع سياحي.,1,"Singel was once the outer barrier for the medieval city, but as the city expanded, Herengracht (Gentleman's Canal), Keizersgracht (Emperor's Canal), and Prinsengracht (Princes' Canal) enlarged the web.",Singel was a tourist location.,xnli
صبي يرتدي معطفاً أزرق يحتجزه والده تحت مظلة,صبي تحت مظلة يحتجزه والده الذي يرتدي معطفًا أزرق,1,"A boy, who is wearing a blue coat, is being held by his father under an umbrella ",A boy under an umbrella is being held by his father who is wearing a blue coat,arNLI
صدر هذا البيان في اليوم التالي لإعادة فتح الأسواق المالية.,تعمل الأسواق المالية بشكل مستمر ولا يتم إغلاقها أبداً.,2,This statement was issued the day after the financial markets reopened.,The financial markets operate continuously and are never shut down.,xnli
رجل يرتدي قبعة صلبة يرقص,رجل يرتدي قبعة صلبة ويرقص,0,A man with a hard hat is dancing,A man is wearing a hard hat and dancing,arNLI
إنه هذا الثوب الملعون الذى جعلك كالجبان .,أنت خائفة  بسبب التنورة الداخلية.,0,It's that cursed petticoat's making a coward of you.,You are cowardice because of the petticoat.,xnli
الرجال يقطعون الخشب,الرجال ينشرون جذوع الأشجار,0,Men are cutting wood,Men are sawing logs,arNLI
يعزف طفل على الغيتار,يعزف طفل على البيانو,1,A kid is playing the guitar,A kid is playing the piano,arNLI
ليس هناك امرأة تستخدم آلة الخياطة,امرأة تخيط  بآلة ,2,There is no woman using a sewing machine,A woman is sewing with a machine,arNLI
جميع الوكالات المستجيبة التسعة تبلغ عن المشاركة في,يسر هذه الوكالات التسع أن لديها مستوى مشاركة مرتفع.,1,All nine responding agencies report participation in a,These nine agencies are pleased that they had such a high participation level.,xnli
في الليل، هناك العديد من المطاعم والنوادي والمسارح الجيدة للاستمتاع، وفي النهار هناك شاطئ رائع، يكتمل برصيف للتسلية، دائري عتيق، وأروقة التسوق القريبة.,لا يوجد شيء للقيام به هنالك في الليل.,2,"At night there are many good restaurants, clubs, and theaters to enjoy, and by day there is the glorious beach, complete with an amusement pier, antique carousel, and the nearby shopping arcades.",There is nothing to do there at night.,xnli
رجل يغوص عن صخرة,رجل يركب دراجة نارية,1,A man is diving off a rock,A man is riding a motorcycle,arNLI
دراجة يقودها رجل,رجل يركب دراجة كهربائية,0,A bicycle is being ridden by a man,A man is riding an electric bicycle,arNLI
يعود الفضل في إتاحة الفرصة للحكومة بإجراء عملية تقصي كاملة للتهديدات التي شكلها بن لادن على الأمن الوطني إلى مأساة تفجيرات السفارة.,كان يجب أن يكون تهديد بن لادن على الأمن واضحاً للحكومة بعد تفجيرات السفارة.,0,"The tragedy of the embassy bombings provided an opportunity for a full examination, across the government, of the national security threat that Bin Ladin posed.",Bin Ladin's security threat should have been evident to the government after the embassy bombings.,xnli
نحن نطلب من جميع الخريجين هدية بقيمة 1000 دولار.,نحن نستهدف الطلاب الحاليون فقط.,2,We are asking all graduates for a gift of $1000.,We are only targeting current students.,xnli
تم تحطيم النوافذ الممتدة من الأرض حتى السقف في الركن الشمالي الغربي من مستوى اللوبي في ويست ستريت,كثير من النوافذ الكبيرة في زاوية البناء كُسِرت.,0,Floor-to-ceiling windows in the northwest corner of the West Street level of the lobby had been blown out,Many large windows were destroyed in the corner of the building.,xnli
كان عام 2000 المالي عامًا مليئًا بالإنجازات والمآثر التي حققها مكتب المساءلة الحكومية في سنة من الخدمة العظيمة للكونغرس وتعود بفائدة عظيمة على دافعي الضرائب الأمريكيين.,2000 كان ممتازا لأن الكونغرس مرر فواتير أكثر من أي وقت مضى.,1,Fiscal year 2000 was a tremendous year of accomplishment and achievement for GAO a a year of great service to the Congress and of great benefit to the American taxpayer.,2000 was excellent because Congress passed more bills than ever before.,xnli
وما هو أفضل من ذلك؟ - هل أنت من أفراس بربادوس الأخرق؟ أى كان ما يزعجك يا بيتر؟ لم اكن اعرف ابدا انتم خائفون. انتشر سلاح وراءهم.,لم أكن أعرف أبدًا أن بيتر سيكون خائفًا.,0,"And what better are these?--Are ye afeard of a lubberly Barbados planter? Whatever ails you, Peter? I've never known ye scared afore.   A gun boomed out behind them.",I had never known Peter to be scared.,xnli
هذه ستكون إشارة الكذب على ..،قال بلود، في نفس الصوت اللاذع ؛ وتنفس الصعداء.,كان قد قدم تنهدة كما ذكرت بلود شيئا عن إشارة.,0,"That'll be the signal to lie to,  said Blood, in the same listless voice; and he fetched a sigh.",He had given off a sigh as Blood mentioned something about a signal.,xnli
طفل يسبح تحت الماء في بركة,طفل يبتسم للكاميرا ويسبح تحت الماء,1,A child is swimming underwater in a pool,A child is smiling at the camera and swimming underwater,arNLI
متطلباتهم أكثر تواضعاً من ناحية الحجم والتعقيد.,طلباتهم كانت أكثر ليبرالية.,2,Their requirements are far more modest in size and complexity.,Their requirements are much more liberal.,xnli
السيدة تمسك بفرشاة الرسم بجانب حامل الفنان,الفتاة ترسم المعطف الأزرق,1,The lady is holding the paintbrush next to the artist's easel ,The girl is painting a coverall blue,arNLI
نعم، أعتقد أن هناك الكثير اقتصاديا أيضا مثل الغاز وكل شيء يعني أنني يمكن أن ذهب إلى الأبد على خزان بالغاز,هم أيضاً من أفضل السيارات شكلاً الموجودة.,1,yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas,They are also the best looking cars around.,xnli
وقد شملت إحدى المبادرات وضع توجيهات استراتيجية وخطوط توجيهية ومعايير لإنشاء التجارة الإلكترونية في حكومة الولاية.,استهدفت المبادرة التخلص من حالة الاعتماد على نظم الحاسوب.,2,"One initiative involved establishing strategic direction, guidelines, and standards for instituting electronic commerce in the state government.",The initiative was intended to remove all state reliance on computer systems.,xnli
الفرقة تغني,المغني يغادر الفرقة,1,The band isn't singing,A woman is putting on makeup carefully,arNLI
يعزف طفل على البيانو,صبي صغير يغني و يعزف على الغيتار,1,A kid is playing the piano,A young boy is singing and playing a guitar,arNLI
رجل خلط الخضار في وعاء,شخص لا يضع الخضار في وعاء,1,A man is mixing vegetables in a pot,A person is not stirring vegetables in a pot,arNLI
رجل يجلس خارج تحت مظلة أرجواني اللون,امرأة حافية القدمين تجلس على بطانية تحت مظلة الخزامى,1,The man is sitting outside under a purple umbrella,A shoeless woman is sitting on a blanket under a lavender umbrella,arNLI
أنه خطر بالفعل حقاً ويمكنني أن أفكر لكن في كل هذه الحوادث,الطريق السريع مرعب للغاية، تحدث به الكثير من الحوادث يومياً.,1,it's real real dangerous i i would think but with all the accidents,"That highway is so scary, with accidents occuring every day.",xnli
في عام 2003 ، تم القضاء على هذه التسميات ؛ جميع مسائل الإرهاب الدولي تحصل الآن على نفس التسمية ، 315.,يتم الحكم على كل مسألة إرهابية وتصنيفها بشكل مستقل.,2,"In 2003, these designations were eliminated; all international terrorism matters now receive the same designation, 315.",Each terrorism matter is judged and graded independently.,xnli
ثلاث فتيات يقفن ويتحدثن مع بعضهن البعض.,ثلاث فتيات يتحدثن,0,Three girls are standing and talking to each other.,Three girls are talking,snli
وتلعب بعض الناس لعبة الكريكيت,يلعب الناس لعبة الكريكيت,0,Some people are playing cricket,People are playing cricket,arNLI
راكب دراجة يقوم بقفزة على دراجة,يقوم راكب دراجة بأداء خدعة على جدار به رسوم بيانية كثيفة,1,A cyclist is performing a jump on a bicycle,A bicyclist is performing a trick over a heavily graphitized wall,arNLI
الفرسان هم خيول السباق في الميدان ، وهو أخضر بالكامل,الفرسان يركبون الخيول في الميدان ، وهو أخضر بالكامل,0,"The Jockeys are racing horses on the field, which is completely green","The Jockeys are riding horses on the field, which is completely green",arNLI
رجل يقشر البصل,رجل قشر البصل,0,A man is peeling an onion,A man is removing the peel of an onion,arNLI
إن كان هذا صحيح، فقط عملية الاختيار الطبيعي هي التي يمكن أن تحولها لهذا.,الانتقاء الطبيعي ربما جعله يحولها إلى ذلك.,0,"If so, only natural selection can have tuned it thus.",Natural selection might have made turned it into that.,xnli
ارتجل ليل ارمسترونج، والذي كان عازف البيانو في الجلسة، الإجابة والتي أطلق عليها موسكرات رامبل؛ أليس كذلك يا ريد؟,عازف البيانو ، ليل أرمسترونغ ، تمكن من إرتجال الأغاني.,0,"Lil Armstrong, who was the pianist for the session, improvised the answer,  That's named `Muskrat Ramble'; isn't that right, Red?","The pianist, Lil Armstrong, was able to improvise songs.",xnli
إلى جانب برنامج  لات نايت ليف  و الينبراند درو أسماء المدعي عليهم في الدعوة غري درو و لوين درو  مديريالينبراند درو والمطورين,ألينبراند ودروز يباشران الدعوى القضائية.,2,"Besides LNL and Allenbrand-Drews, the suit names as defendants Gary Allenbrand and Loren Drews, principals of Allenbrand-Drews; and developers or contractors R.L.",Allenbrand and Drews are prosecuting the case.,xnli
"عندما غادر إيربان إلى فيتنام, كنا فقط تزوجنا لفترة قصيرة, كما قال جو آن.",تزوجت جون وأوربان لمدة شهر واحد عندما غادر إلى فيتنام.,1,"When Urban left for Vietnam, we'd only been married a short time, JoAnn said.",JoAnn and Urban were married for one month when he left for Vietnam.,xnli
كانت أعلى فضيلة النظام الدستوري الألماني بعد الحرب ، ثم، أكبر ضحية للنظام النازي.,سمح النظام النازي بذلك.,2,"The highest virtue of the postwar German constitutional order, then, was precisely the greatest casualty of the Nazi regime.",The Nazi regime allowed it.,xnli
استيقظت الجدة ، وانسحبت إلى أسفل الدرج من الشرفة ، وكانت تسير نحو الطريق ، ثم وقفت هناك.,الجدة ابتعدت عن المنزل.,0,"So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.",Granny walked away from the house.,xnli
يجمع هذا المعلم الجذاب الرائع الذي يحتوي على 3.3 هكتار بين أفضل الأفكار المتعلقة بالزراعة ومعلومات النباتات وتصميم المناظر الطبيعية الملهمة.,المساحة مليئة بالزهور الاستوائية والأشجار الجميلة.,1,"This stunnngly beautiful 3.3 -acre landmark botanical attraction combines the best of gardening ideas, plant information and inspiring landscape design.",The space is full of tropical flowers and beautiful trees.,xnli
كعضو في ــــ بكلية الحقوق، أعلم أنك على دراية بتقدمنا.,لا أحد ينتمي إلى كلية الحقوق.,2,"As a member of the law school's __, I know you are aware of our progress.",No one belongs to the law school.,xnli
التهديد الذي قادم لم يكن من الخلايا النائمة.,كان التهديد نابعاً من المتطرفين السياسيين المحليين.,1,The threat that was coming was not from sleeper cells.,The threat was coming from domestic political radicals.,xnli
الرجل في تي شيرت أسود يحاول أن يرمي شيئا.,الرجل في تي شيرت أسود.,0,The man in the black t-shirt is trying to throw something.,The man is in a black shirt.,snli
رجل يرقص على السقف,رجل يرقص على الأرض,1,A man is dancing on the ceiling,A man is dancing on the floor,arNLI
في مشهد اللياقة البدنية ، يمكن للصورة ، والطفرة ، وإعادة التركيب ، والاختيار أن يتآمروا لسحب المجموعات السكانية المتطورة صعودًا نحو قمم اللياقة البدنية العالية.,عندما يتعلق الأمر بمستويات اللياقة البدنية الأعلى، من المرجح أن تستمر المجموعات السكانية المتطورة.,1,"In the fitness landscape, image, mutation, recombination, and selection can conspire to pull evolving populations upward toward the peaks of high fitness.",At higher fitness levels evolving populations are more likely to survive.,xnli
صبي يجلس في غرفة ويعزف على البيانو بجانب المصباح,صبي يكتب على لوحة المفاتيح,1,A boy is sitting in a room and playing a piano by lamp light,A boy is practicing the keyboard,arNLI
وفي نهاية المطاف ، سيصبح التركيز على أمرين أمريكيين يحميان العلم ويحتفلان بحرية التعبير كطريقة متناقضة لكونهما أمريكيتين.,يتعامل كافة الأمريكيون مع العلم باحترام.,1,Two American ideas'protecting the flag and celebrating freedom of speech'would eventually come into focus as contradictory ways of being American.,Americans all treat the flag with respect.,xnli
رجل أكبر سنا يميل ضد الركيزة خارج بناية مزخرفة.,رجل أكبر سنا يميل خارج بناية.,0,An older man leans against a pedestal outside of an ornate building.,An older man leans outside a building,snli
هذا واضح أكثر في صفوف الأعمدة، التي شبهها فنسنت سكولي بالهوبليتس في الكتائب.,تحدث فنسنت سكولي عن الصفوف.,0,"This is most apparent in colonnades, which Vincent Scully has likened to hoplites massed in a phalanx.",Vincent Scully talked about colonnades.,xnli
وليس هناك رجل يعزف على الفلوت,رجل يعزف على الغيتار,1,There is no man playing a flute,A man is playing a guitar,arNLI
رجل يلعب كرة القدم,رجل يعزف الموسيقى بالناي,1,A man is playing soccer,A man is making music with a flute,arNLI
امرأة قطعت بصلة,لم تقطع المرأة البصل,2,A woman is slicing an onion,There is no woman slicing an onion,arNLI
رجل عجوز يجلس على مقعد,امرأة مسنة تجلس على مقعد وترتدي سترة رمادية وسروالًا أسود,0,An old person is sitting on a bench,An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,arNLI
P. S. دفع الهبة إلى IMA يجعل منها عطية إجازة رائعة .,لاحظ أنه يمكنك تقديم تبرعات في أي وقت ليس فقط في أيام العطلات.,1,P. S. A tribute donation to the IMA makes a wonderful holiday gift.,Gentle note that you could make donations any time not just around the holidays.,xnli
يرجى الإعطاء الآن حتى نتمكن من الاستمرار في الرد عليك وعلى أصدقائك وجيرانك.,سنقوم بإيقاف جمع التبرعات إذا قمت بإعطائنا 1000 دولار الآن.,1,Please give now so we can go on giving back to you and your friends and neighbors.,We'll stop fundraising if you give us $1000 now.,xnli
وركز الرؤساء أيضًا على باكستان وما يمكن أن تفعله لتحويل طالبان ضد القاعدة.,طالبان لم تكن ضد القاعدة.,0,The principals also focused on Pakistan and what it could do to turn the Taliban against al Qaeda.,The Taliban was not against al Qaeda.,xnli
يتم العزف على القيثارة من قبل رجل,رجل يعزف على القيثارة,0,A harp is being played by a man,A man is playing a harp,arNLI
رجلان يرتديان ملابس متسخة يجلسان على الرصيف مع كلبهم و يشحذان المال بواسطة لافتة كرتونية.,أقنع هذين الرجلين الأميين الكلب لكتابة لافتة الاستجداء لهم.,2,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,snli
من الأهمية بمكان أن نقوم بتوعية الأميركيين بأهمية العمل الخيري بأن ننشيء جيلاً جديدًا من القادة المطلعين والملتزمين.,يجب أن نستخدم المدارس الحكومية لتعليم الأمريكيين أهمية العمل الخيري.,1,It is critical that we educate Americans about the importance of Philanthropy that we develop a new generation of informed and committed leaders.,We should use public schools to teach Americans about the importance of philanthropy.,xnli
بنتان مراهقتان تتحدثان بجانب خزانات.,بنات تتحدثن عن مشاكلهن بجانب خزانات.,1,Two teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.,snli
